hotel_id,aspect,sentiment,mention_count,pos_count,neg_count,is_facility
483,noise,0.385,13,5,8,0
483,breakfast,0.846,52,44,8,0
484,wifi,0.5,8,4,4,1
484,sauna,0.0,2,0,2,1
484,restaurant,0.5,2,1,1,1
484,room_service,0.0,1,0,1,1
484,lounge,0.6,5,3,2,1
484,staff,0.848,33,28,5,0
484,cleanliness,0.727,11,8,3,0
484,location,0.794,34,27,7,0
484,room_comfort,0.471,51,24,27,0
484,value,0.25,12,3,9,0
484,noise,0.2,5,1,4,0
484,breakfast,0.536,28,15,13,0
485,wifi,0.333,12,4,8,1
485,gym,0.0,2,0,2,1
485,sauna,0.0,1,0,1,1
485,restaurant,0.444,9,4,5,1
485,room_service,0.667,3,2,1,1
485,lounge,0.0,1,0,1,1
485,staff,0.871,70,61,9,0
485,cleanliness,0.692,13,9,4,0
485,location,0.989,89,88,1,0
485,room_comfort,0.427,96,41,55,0
485,value,0.261,23,6,17,0
485,noise,0.571,7,4,3,0
485,breakfast,0.286,28,8,20,0
486,wifi,0.625,8,5,3,1
486,pool,0.0,1,0,1,1
486,gym,0.0,4,0,4,1
486,restaurant,0.769,52,40,12,1
486,room_service,0.333,6,2,4,1
486,lounge,0.333,3,1,2,1
486,event_space,0.0,1,0,1,1
486,staff,0.829,187,155,32,0
486,cleanliness,0.953,64,61,3,0
486,location,0.917,132,121,11,0
486,room_comfort,0.665,275,183,92,0
486,value,0.463,54,25,29,0
486,noise,0.5,48,24,24,0
486,breakfast,0.628,113,71,42,0
487,wifi,0.267,15,4,11,1
487,pool,0.0,1,0,1,1
487,gym,1.0,1,1,0,1
487,sauna,0.333,3,1,2,1
487,restaurant,0.611,18,11,7,1
487,room_service,0.0,1,0,1,1
487,event_space,1.0,1,1,0,1
487,staff,0.731,52,38,14,0
487,cleanliness,0.75,32,24,8,0
487,location,0.957,93,89,4,0
487,room_comfort,0.536,110,59,51,0
487,value,0.433,30,13,17,0
487,noise,0.81,21,17,4,0
487,breakfast,0.75,64,48,16,0
488,wifi,0.326,43,14,29,1
488,pool,0.0,1,0,1,1
488,gym,0.333,21,7,14,1
488,sauna,0.312,16,5,11,1
488,restaurant,0.677,65,44,21,1
488,room_service,0.2,10,2,8,1
488,lounge,1.0,1,1,0,1
488,event_space,0.0,2,0,2,1
488,staff,0.686,290,199,91,0
488,cleanliness,0.803,142,114,28,0
488,location,0.921,342,315,27,0
488,room_comfort,0.57,435,248,187,0
488,value,0.438,89,39,50,0
488,noise,0.586,58,34,24,0
488,breakfast,0.657,329,216,113,0
489,sauna,0.0,1,0,1,1
489,lounge,1.0,1,1,0,1
489,staff,0.6,5,3,2,0
489,cleanliness,1.0,1,1,0,0
489,location,1.0,5,5,0,0
489,room_comfort,0.556,9,5,4,0
489,value,0.25,4,1,3,0
489,breakfast,0.0,4,0,4,0
490,wifi,0.649,37,24,13,1
490,pool,0.0,1,0,1,1
490,gym,0.0,2,0,2,1
490,sauna,0.0,3,0,3,1
490,restaurant,0.812,64,52,12,1
490,room_service,0.2,5,1,4,1
490,lounge,0.75,4,3,1,1
490,event_space,1.0,1,1,0,1
490,staff,0.873,291,254,37,0
490,cleanliness,0.891,137,122,15,0
490,location,0.937,301,282,19,0
490,room_comfort,0.512,377,193,184,0
490,value,0.726,73,53,20,0
490,noise,0.408,103,42,61,0
490,breakfast,0.961,384,369,15,0
491,wifi,0.333,3,1,2,1
491,pool,0.714,7,5,2,1
491,restaurant,0.333,6,2,4,1
491,lounge,1.0,2,2,0,1
491,staff,0.6,35,21,14,0
491,cleanliness,1.0,7,7,0,0
491,location,0.811,37,30,7,0
491,room_comfort,0.5,48,24,24,0
491,value,0.083,12,1,11,0
491,noise,0.286,14,4,10,0
491,breakfast,0.389,18,7,11,0
492,wifi,0.571,7,4,3,1
492,pool,0.333,3,1,2,1
492,gym,0.75,8,6,2,1
492,restaurant,0.556,18,10,8,1
492,room_service,0.0,2,0,2,1
492,lounge,0.0,2,0,2,1
492,event_space,0.0,1,0,1,1
492,staff,0.768,181,139,42,0
492,cleanliness,0.865,111,96,15,0
492,location,0.83,135,112,23,0
492,room_comfort,0.658,240,158,82,0
492,value,0.429,42,18,24,0
492,noise,0.775,40,31,9,0
492,breakfast,0.778,207,161,46,0
493,restaurant,1.0,2,2,0,1
493,room_service,1.0,1,1,0,1
493,staff,0.857,7,6,1,0
493,cleanliness,0.0,2,0,2,0
493,location,1.0,8,8,0,0
493,room_comfort,0.4,10,4,6,0
493,noise,0.0,1,0,1,0
493,breakfast,1.0,2,2,0,0
494,wifi,0.619,21,13,8,1
494,pool,0.0,5,0,5,1
494,gym,0.0,5,0,5,1
494,sauna,0.0,3,0,3,1
494,restaurant,0.759,29,22,7,1
494,room_service,0.0,6,0,6,1
494,lounge,0.0,1,0,1,1
494,staff,0.711,159,113,46,0
494,cleanliness,0.675,80,54,26,0
494,location,0.955,268,256,12,0
494,room_comfort,0.434,235,102,133,0
494,value,0.396,48,19,29,0
494,noise,0.45,40,18,22,0
494,breakfast,0.587,109,64,45,0
495,wifi,0.0,3,0,3,1
495,gym,0.0,3,0,3,1
495,sauna,0.0,1,0,1,1
495,restaurant,0.8,10,8,2,1
495,room_service,0.0,2,0,2,1
495,staff,0.812,48,39,9,0
495,cleanliness,0.867,15,13,2,0
495,location,0.982,56,55,1,0
495,room_comfort,0.457,70,32,38,0
495,value,0.235,17,4,13,0
495,noise,0.571,7,4,3,0
495,breakfast,0.263,19,5,14,0
496,wifi,0.667,3,2,1,1
496,pool,0.556,45,25,20,1
496,gym,0.5,2,1,1,1
496,sauna,0.474,19,9,10,1
